,Unnamed: 0,index,tweet_text,emotion_in_tweet_is_directed_at,label,tweet_text_cln,alt_label,class,pred_label,pred_scores
0,0,0,".@wesley83 I have a 3G iPhone. After 3 hrs tweeting at #RISE_Austin, it was dead!  I need to upgrade. Plugin stations at #SXSW.",iPhone,Negative emotion,.@wesley83 I have a 3G iPhone. After 3 hrs tweeting at it was dead! I need to upgrade. Plugin stations at,NEG,0,NEG,0.44468778371810913
1,1,1,"@jessedee Know about @fludapp ? Awesome iPad/iPhone app that you'll likely appreciate for its design. Also, they're giving free Ts at #SXSW",iPad or iPhone App,Positive emotion,"Know about ? Awesome iPad/iPhone app that you'll likely appreciate for its design. Also, they're giving free Ts at",POS,2,POS,0.9787391424179077
2,2,2,@swonderlin Can not wait for #iPad 2 also. They should sale them down at #SXSW.,iPad,Positive emotion,Can not wait for 2 also. They should sale them down at,POS,2,POS,0.9521859884262085
3,3,3,@sxsw I hope this year's festival isn't as crashy as this year's iPhone app. #sxsw,iPad or iPhone App,Negative emotion,I hope this year's festival isn't as crashy as this year's iPhone app.,NEG,0,NEU,0.4379124045372009
4,4,4,"@sxtxstate great stuff on Fri #SXSW: Marissa Mayer (Google), Tim O'Reilly (tech books/conferences) &amp; Matt Mullenweg (Wordpress)",Google,Positive emotion,"great stuff on Fri Marissa Mayer (Google), Tim O'Reilly (tech books/conferences) &amp; Matt Mullenweg (Wordpress)",POS,2,POS,0.97036212682724
5,5,5,@teachntech00 New iPad Apps For #SpeechTherapy And Communication Are Showcased At The #SXSW Conference http://ht.ly/49n4M #iear #edchat #asd,,No emotion toward brand or product,"New iPad Apps For And Communication Are Showcased At The Conference ,",NEU,1,NEU,0.5742391347885132
6,7,7,"#SXSW is just starting, #CTIA is around the corner and #googleio is only a hop skip and a jump from there, good time to be an #android fan",Android,Positive emotion,"is just starting, is around the corner and is only a hop skip and a jump from there, good time to be an fan",POS,2,POS,0.9662322402000427
7,8,8,Beautifully smart and simple idea RT @madebymany @thenextweb wrote about our #hollergram iPad app for #sxsw! http://bit.ly/ieaVOB,iPad or iPhone App,Positive emotion,"Beautifully smart and simple idea RT wrote about our iPad app for ,",POS,2,POS,0.9712235331535339
8,9,9,Counting down the days to #sxsw plus strong Canadian dollar means stock up on Apple gear,Apple,Positive emotion,Counting down the days to plus strong Canadian dollar means stock up on Apple gear,POS,2,POS,0.9047582149505615
9,10,10,Excited to meet the @samsungmobileus at #sxsw so I can show them my Sprint Galaxy S still running Android 2.1.   #fail,Android,Positive emotion,Excited to meet the at so I can show them my Sprint Galaxy S still running Android 2.1.,POS,2,POS,0.9878569841384888
10,11,11,Find &amp; Start Impromptu Parties at #SXSW With @HurricaneParty http://bit.ly/gVLrIn I can't wait til the Android app comes out.,Android App,Positive emotion,"Find &amp; Start Impromptu Parties at With , I can't wait til the Android app comes out.",POS,2,POS,0.9628737568855286
11,12,12,"Foursquare ups the game, just in time for #SXSW http://j.mp/grN7pK) - Still prefer @Gowalla by far, best looking Android app to date.",Android App,Positive emotion,"Foursquare ups the game, just in time for , - Still prefer by far, best looking Android app to date.",POS,2,POS,0.9598598480224609
12,13,13,Gotta love this #SXSW Google Calendar featuring top parties/ show cases to check out.  RT @hamsandwich via @ischafer =&gt;http://bit.ly/aXZwxB,Other Google product or service,Positive emotion,"Gotta love this Google Calendar featuring top parties/ show cases to check out. RT via =&gt;,",POS,2,POS,0.9853984117507935
13,14,14,Great #sxsw ipad app from @madebymany: http://tinyurl.com/4nqv92l,iPad or iPhone App,Positive emotion,"Great ipad app from ,",POS,2,POS,0.9714229106903076
14,15,15,"haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw",iPad or iPhone App,Positive emotion,"haha, awesomely rad iPad app by ,",POS,2,POS,0.9795535802841187
15,16,16,Holler Gram for iPad on the iTunes App Store -  http://t.co/kfN3f5Q (via @marc_is_ken) #sxsw,,No emotion toward brand or product,"Holler Gram for iPad on the iTunes App Store - , (via",NEU,1,NEU,0.7433684468269348
16,17,17,I just noticed DST is coming this weekend. How many iPhone users will be an hour late at SXSW come Sunday morning? #SXSW #iPhone,iPhone,Negative emotion,I just noticed DST is coming this weekend. How many iPhone users will be an hour late at SXSW come Sunday morning?,NEG,0,NEU,0.6208823323249817
17,18,18,"Just added my #SXSW flights to @planely. Matching people on planes/airports. Also downloaded the @KLM iPhone app, nicely done.",iPad or iPhone App,Positive emotion,"Just added my flights to Matching people on planes/airports. Also downloaded the iPhone app, nicely done.",POS,2,POS,0.9297004342079163
18,19,19,Must have #SXSW app! RT @malbonster: Lovely review from Forbes for our SXSW iPad app Holler Gram - http://t.co/g4GZypV,iPad or iPhone App,Positive emotion,"Must have app! RT Lovely review from Forbes for our SXSW iPad app Holler Gram - ,",POS,2,POS,0.938020646572113
19,20,20,Need to buy an iPad2 while I'm in Austin at #sxsw. Not sure if I'll need to Q up at an Austin Apple store?,iPad,Positive emotion,Need to buy an iPad2 while I'm in Austin at Not sure if I'll need to Q up at an Austin Apple store?,POS,2,POS,0.5006669759750366
20,21,21,"Oh. My. God. The #SXSW app for iPad is pure, unadulterated awesome. It's easier to browse events on iPad than on the website!!!",iPad or iPhone App,Positive emotion,"Oh. My. God. The app for iPad is pure, unadulterated awesome. It's easier to browse events on iPad than on the website!!!",POS,2,POS,0.9838305115699768
21,22,22,"Okay, this is really it: yay new @Foursquare for #Android app!!!!11 kthxbai. #sxsw",Android App,Positive emotion,"Okay, this is really it: yay new for app!!!!11 kthxbai.",POS,2,POS,0.9550710916519165
22,23,23,"Photo: Just installed the #SXSW iPhone app, which is really nice! http://tumblr.com/x6t1pi6av7",iPad or iPhone App,Positive emotion,"Photo: Just installed the iPhone app, which is really nice! ,",POS,2,POS,0.9918127059936523
23,24,24,Really enjoying the changes in Gowalla 3.0 for Android! Looking forward to seeing what else they &amp; Foursquare have up their sleeves at #SXSW,Android App,Positive emotion,Really enjoying the changes in Gowalla 3.0 for Android! Looking forward to seeing what else they &amp; Foursquare have up their sleeves at,POS,2,POS,0.9910945892333984
24,25,25,"RT @LaurieShook: I'm looking forward to the #SMCDallas pre #SXSW party Wed., and hoping I'll win an #iPad resulting from my shameless promotion.  #ChevySMC",iPad,Positive emotion,"RT I'm looking forward to the pre party Wed., and hoping I'll win an resulting from my shameless promotion.",POS,2,POS,0.9549252986907959
25,26,26,"RT haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw (via @michaelpiliero)",iPad or iPhone App,Positive emotion,"RT haha, awesomely rad iPad app by , (via",POS,2,POS,0.9778058528900146
26,27,27,"someone started an #austin @PartnerHub group in google groups, pre-#sxsw. great idea",Other Google product or service,Positive emotion,"someone started an group in google groups, pre-#sxsw. great idea",POS,2,POS,0.9467126727104187
27,28,28,The new #4sq3 looks like it is going to rock. Update for iPhone and Android should push tonight http://bit.ly/etsbZk #SXSW #KeepAustinWeird,iPad or iPhone App,Positive emotion,"The new looks like it is going to rock. Update for iPhone and Android should push tonight ,",POS,2,POS,0.9719972014427185
28,29,29,"They were right, the @gowalla 3 app on #android is sweeeeet! Nice job by the team there. #sxsw",Android App,Positive emotion,"They were right, the 3 app on is sweeeeet! Nice job by the team there.",POS,2,POS,0.982431948184967
29,30,30,Very smart from @madebymany #hollergram iPad app for #sxsw! http://t.co/A3xvWc6 (may leave my vuvuzela at home now),iPad or iPhone App,Positive emotion,"Very smart from iPad app for , (may leave my vuvuzela at home now)",POS,2,POS,0.9497150778770447
30,31,31,You must have this app for your iPad if you are going to #SXSW http://itunes.apple.com/us/app/holler-gram/id420666439?mt=8 #hollergram,iPad or iPhone App,Positive emotion,"You must have this app for your iPad if you are going to ,",POS,2,POS,0.6084882616996765
31,32,32,"Attn: All  #SXSW frineds, @mention Register for #GDGTLive  and see Cobra iRadar for Android. {link}",,No emotion toward brand or product,"Attn: All frineds, Register for and see Cobra iRadar for Android. {link}",NEU,1,NEU,0.8321043848991394
32,33,33,Anyone at  #sxsw want to sell their old iPad?,,No emotion toward brand or product,Anyone at want to sell their old iPad?,NEU,1,NEU,0.8812887072563171
33,34,34,Anyone at  #SXSW who bought the new iPad want to sell their older iPad to me?,,No emotion toward brand or product,Anyone at who bought the new iPad want to sell their older iPad to me?,NEU,1,NEU,0.8417678475379944
34,35,35,"At #sxsw.  Oooh. RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link}",,No emotion toward brand or product,"At Oooh. RT Google to Launch Major New Social Network Called Circles, Possibly Today {link}",NEU,1,NEU,0.5641476511955261
35,36,36,The best!  RT @mention Ha! First in line for #ipad2 at #sxsw &quot;pop-up&quot; Apple store was an event planner #eventprofs #pcma #engage365,iPad,Positive emotion,The best! RT Ha! First in line for at &quot;pop-up&quot; Apple store was an event planner,POS,2,POS,0.9659633040428162
36,37,37,SPIN Play - a new concept in music discovery for your iPad from @mention &amp; spin.com {link} #iTunes #sxsw @mention,,No emotion toward brand or product,SPIN Play - a new concept in music discovery for your iPad from &amp; spin.com {link},NEU,1,POS,0.5264747738838196
37,38,38,@mention  - False Alarm: Google Circles Not Coming NowÛÒand Probably Not Ever? - {link} #Google #Circles #Social #SXSW,Google,Negative emotion,- False Alarm: Google Circles Not Coming NowÛÒand Probably Not Ever? - {link},NEG,0,NEG,0.6622259020805359
38,39,39,VatorNews - Google And Apple Force Print Media to Evolve? {link} #sxsw,,No emotion toward brand or product,VatorNews - Google And Apple Force Print Media to Evolve? {link},NEU,1,NEU,0.7528557181358337
39,40,40,@mention  - Great weather to greet you for #sxsw! Still need a sweater at night..Apple putting up &quot;flash store&quot; downtown to sell iPad2,Apple,Positive emotion,- Great weather to greet you for Still need a sweater at night..Apple putting up &quot;flash store&quot; downtown to sell iPad2,POS,2,POS,0.9506838321685791
40,41,41,"HootSuite - HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android: Whether youÛªre getting friend... {link}",,No emotion toward brand or product,"HootSuite - HootSuite Mobile for ~ Updates for iPhone, BlackBerry &amp; Android: Whether youÛªre getting friend... {link}",NEU,1,NEU,0.7363209128379822
41,42,42,Hey #SXSW - How long do you think it takes us to make an iPhone case? answer @mention using #zazzlesxsw and weÛªll make you one!,,No emotion toward brand or product,Hey - How long do you think it takes us to make an iPhone case? answer using and weÛªll make you one!,NEU,1,NEU,0.6020926833152771
42,43,43,Mashable! - The iPad 2 Takes Over SXSW [VIDEO] #ipad #sxsw #gadgets {link},,No emotion toward brand or product,Mashable! - The iPad 2 Takes Over SXSW [VIDEO] {link},NEU,1,NEU,0.5868770480155945
43,44,44,For I-Pad ?RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by ... {link},,No emotion toward brand or product,For I-Pad ?RT New for now in the App Store includes UberGuide to sponsored by ... {link},NEU,1,NEU,0.6296853423118591
