,Unnamed: 0,index,tweet_text,emotion_in_tweet_is_directed_at,label,tweet_text_cln,alt_label,class,pred_label,pred_scores
0,2503,2503,It's pie day at the google booth at #sxsw #mylunch,Google,Positive emotion,It's pie day at the google booth at,POS,2,POS,0.5790290832519531
1,1039,1039,"Future of retail instore = party [goods] up front, biz [inventory ]in the back ala #apple mullet #sxsw #kiosks",,No emotion toward brand or product,"Future of retail instore = party [goods] up front, biz [inventory ]in the back ala mullet",NEU,1,NEU,0.8779104351997375
2,1593,1593,"Whoa. RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",Other Google product or service,Positive emotion,"Whoa. RT Google to Launch Major New Social Network Called Circles, Possibly Today {link}",POS,2,NEU,0.8222709894180298
3,2867,2867,Sitting behind a dude with a barcode tattoo on his neck. Controlling the urge to scan it with my iPhone #SXSW,,No emotion toward brand or product,Sitting behind a dude with a barcode tattoo on his neck. Controlling the urge to scan it with my iPhone,NEU,1,NEU,0.6200631856918335
4,7937,7937,UberGenius: Uber Is Taking Control of SXSW Pedicabs {link} #iPhone #LIVESTRONG #NewYorkCity #SanFrancisco #SXSW,,No emotion toward brand or product,UberGenius: Uber Is Taking Control of SXSW Pedicabs {link},NEU,1,NEU,0.8133369088172913
5,8897,8897,"FRIENDS: What's going on at #sxsw today? Share photos, video with @mention {link} or through CNN iPhone app!",,No emotion toward brand or product,"FRIENDS: What's going on at today? Share photos, video with {link} or through CNN iPhone app!",NEU,1,NEU,0.7331814765930176
6,8030,8030,Forget disneyland... the apple pop-up store in austin is the happiest place on earth #SXSW,Apple,Positive emotion,Forget disneyland... the apple pop-up store in austin is the happiest place on earth,POS,2,POS,0.991971492767334
7,4674,4674,Apple opening up temporary store in downtown Austin for #sxsw and the iPad 2 launch {link},,Positive emotion,Apple opening up temporary store in downtown Austin for and the iPad 2 launch {link},POS,2,NEU,0.8175173997879028
8,4062,4062,@mention Last but not least  get a copy of Stupid Game Plus for your iPhone {link} also for a special #sxsw price!,iPad or iPhone App,Positive emotion,Last but not least get a copy of Stupid Game Plus for your iPhone {link} also for a special price!,POS,2,POS,0.5368087291717529
9,6576,6576,RT @mention RT @mention It's not a rumor: Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch {link},,No emotion toward brand or product,RT RT It's not a rumor: Apple is opening up a temporary store in downtown Austin for and the iPad 2 launch {link},NEU,1,NEU,0.9328623414039612
