,index,tweet_text,emotion_in_tweet_is_directed_at,label,tweet_text_cln,alt_label,class,pred_label,pred_scores
0,0,".@wesley83 I have a 3G iPhone. After 3 hrs tweeting at #RISE_Austin, it was dead!  I need to upgrade. Plugin stations at #SXSW.",iPhone,Negative emotion,.@wesley83 I have a 3G iPhone. After 3 hrs tweeting at it was dead! I need to upgrade. Plugin stations at,NEG,0,NEG,0.6577443480491638
1,1,"@jessedee Know about @fludapp ? Awesome iPad/iPhone app that you'll likely appreciate for its design. Also, they're giving free Ts at #SXSW",iPad or iPhone App,Positive emotion,"Know about ? Awesome iPad/iPhone app that you'll likely appreciate for its design. Also, they're giving free Ts at",POS,2,POS,0.9908457398414612
2,2,@swonderlin Can not wait for #iPad 2 also. They should sale them down at #SXSW.,iPad,Positive emotion,Can not wait for 2 also. They should sale them down at,POS,2,POS,0.9809725284576416
3,3,@sxsw I hope this year's festival isn't as crashy as this year's iPhone app. #sxsw,iPad or iPhone App,Negative emotion,I hope this year's festival isn't as crashy as this year's iPhone app.,NEG,0,NEG,0.9083779454231262
4,4,"@sxtxstate great stuff on Fri #SXSW: Marissa Mayer (Google), Tim O'Reilly (tech books/conferences) &amp; Matt Mullenweg (Wordpress)",Google,Positive emotion,"great stuff on Fri Marissa Mayer (Google), Tim O'Reilly (tech books/conferences) &amp; Matt Mullenweg (Wordpress)",POS,2,POS,0.9627286195755005
5,5,@teachntech00 New iPad Apps For #SpeechTherapy And Communication Are Showcased At The #SXSW Conference http://ht.ly/49n4M #iear #edchat #asd,,No emotion toward brand or product,"New iPad Apps For And Communication Are Showcased At The Conference ,",NEU,1,NEU,0.7015856504440308
7,7,"#SXSW is just starting, #CTIA is around the corner and #googleio is only a hop skip and a jump from there, good time to be an #android fan",Android,Positive emotion,"is just starting, is around the corner and is only a hop skip and a jump from there, good time to be an fan",POS,2,POS,0.9258575439453125
8,8,Beautifully smart and simple idea RT @madebymany @thenextweb wrote about our #hollergram iPad app for #sxsw! http://bit.ly/ieaVOB,iPad or iPhone App,Positive emotion,"Beautifully smart and simple idea RT wrote about our iPad app for ,",POS,2,POS,0.9883117079734802
9,9,Counting down the days to #sxsw plus strong Canadian dollar means stock up on Apple gear,Apple,Positive emotion,Counting down the days to plus strong Canadian dollar means stock up on Apple gear,POS,2,POS,0.970928966999054
10,10,Excited to meet the @samsungmobileus at #sxsw so I can show them my Sprint Galaxy S still running Android 2.1.   #fail,Android,Positive emotion,Excited to meet the at so I can show them my Sprint Galaxy S still running Android 2.1.,POS,2,POS,0.9811691641807556
11,11,Find &amp; Start Impromptu Parties at #SXSW With @HurricaneParty http://bit.ly/gVLrIn I can't wait til the Android app comes out.,Android App,Positive emotion,"Find &amp; Start Impromptu Parties at With , I can't wait til the Android app comes out.",POS,2,POS,0.842170774936676
12,12,"Foursquare ups the game, just in time for #SXSW http://j.mp/grN7pK) - Still prefer @Gowalla by far, best looking Android app to date.",Android App,Positive emotion,"Foursquare ups the game, just in time for , - Still prefer by far, best looking Android app to date.",POS,2,NEU,0.5220221281051636
13,13,Gotta love this #SXSW Google Calendar featuring top parties/ show cases to check out.  RT @hamsandwich via @ischafer =&gt;http://bit.ly/aXZwxB,Other Google product or service,Positive emotion,"Gotta love this Google Calendar featuring top parties/ show cases to check out. RT via =&gt;,",POS,2,POS,0.9875089526176453
14,14,Great #sxsw ipad app from @madebymany: http://tinyurl.com/4nqv92l,iPad or iPhone App,Positive emotion,"Great ipad app from ,",POS,2,POS,0.9890745282173157
15,15,"haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw",iPad or iPhone App,Positive emotion,"haha, awesomely rad iPad app by ,",POS,2,POS,0.9914992451667786
16,16,Holler Gram for iPad on the iTunes App Store -  http://t.co/kfN3f5Q (via @marc_is_ken) #sxsw,,No emotion toward brand or product,"Holler Gram for iPad on the iTunes App Store - , (via",NEU,1,NEU,0.7662614583969116
17,17,I just noticed DST is coming this weekend. How many iPhone users will be an hour late at SXSW come Sunday morning? #SXSW #iPhone,iPhone,Negative emotion,I just noticed DST is coming this weekend. How many iPhone users will be an hour late at SXSW come Sunday morning?,NEG,0,NEG,0.5617483854293823
